name,size
java,
java.applet,
java.applet.Applet.AccessibleApplet,28364.0
java.applet.Applet,76274.0
java.applet.AppletContext,23803.0
java.applet.AppletStub,15082.0
java.applet.AudioClip,9678.0
java.awt,
java.awt.ActiveEvent,9773.0
java.awt.Adjustable,24452.0
java.awt.AlphaComposite,67577.0
java.awt.AWTError,11731.0
java.awt.AWTEvent,40847.0
java.awt.AWTEventMulticaster,145058.0
java.awt.AWTException,11949.0
java.awt.AWTKeyStroke,42284.0
java.awt.AWTPermission,21103.0
java.awt.BasicStroke,41262.0
java.awt.BorderLayout,61512.0
java.awt.BufferCapabilities.FlipContents,21794.0
java.awt.BufferCapabilities,24498.0
java.awt.Button.AccessibleAWTButton,41447.0
java.awt.Button,60582.0
java.awt.Canvas.AccessibleAWTCanvas,25068.0
java.awt.Canvas,48394.0
java.awt.CardLayout,42667.0
java.awt.Checkbox.AccessibleAWTCheckbox,43303.0
java.awt.Checkbox,70815.0
java.awt.CheckboxGroup,18843.0
java.awt.CheckboxMenuItem.AccessibleAWTCheckboxMenuItem,43823.0
java.awt.CheckboxMenuItem,43807.0
java.awt.Choice.AccessibleAWTChoice,32088.0
java.awt.Choice,72450.0
java.awt.color,
java.awt.color.CMMException,11890.0
java.awt.color.ColorSpace,57273.0
java.awt.color.ICC_ColorSpace,39836.0
java.awt.color.ICC_Profile,129480.0
java.awt.color.ICC_ProfileGray,28025.0
java.awt.color.ICC_ProfileRGB,34453.0
java.awt.color.ProfileDataException,12110.0
java.awt.Color,89642.0
java.awt.Component.AccessibleAWTComponent.AccessibleAWTComponentHandler,18276.0
java.awt.Component.AccessibleAWTComponent.AccessibleAWTFocusHandler,14926.0
java.awt.Component.AccessibleAWTComponent,85855.0
java.awt.Component.BaselineResizeBehavior,21092.0
java.awt.Component.BltBufferStrategy,26619.0
java.awt.Component.FlipBufferStrategy,34011.0
java.awt.Component,390957.0
java.awt.ComponentOrientation,20158.0
java.awt.Composite,13209.0
java.awt.CompositeContext,11898.0
java.awt.Container.AccessibleAWTContainer.AccessibleContainerHandler,15147.0
java.awt.Container.AccessibleAWTContainer,35846.0
java.awt.Container,179317.0
java.awt.ContainerOrderFocusTraversalPolicy,30726.0
java.awt.Cursor,33414.0
java.awt.datatransfer,
java.awt.datatransfer.Clipboard,32651.0
java.awt.datatransfer.ClipboardOwner,10923.0
java.awt.datatransfer.DataFlavor,99922.0
java.awt.datatransfer.FlavorEvent,12444.0
java.awt.datatransfer.FlavorListener,10800.0
java.awt.datatransfer.FlavorMap,13551.0
java.awt.datatransfer.FlavorTable,14269.0
java.awt.datatransfer.MimeTypeParseException,12797.0
java.awt.datatransfer.StringSelection,22028.0
java.awt.datatransfer.SystemFlavorMap,45421.0
java.awt.datatransfer.Transferable,13771.0
java.awt.datatransfer.UnsupportedFlavorException,12404.0
java.awt.DefaultFocusTraversalPolicy,17423.0
java.awt.DefaultKeyboardFocusManager,43286.0
java.awt.Desktop.Action,18445.0
java.awt.Desktop,32685.0
java.awt.Dialog.AccessibleAWTDialog,28383.0
java.awt.Dialog,130888.0
java.awt.Dialog.ModalExclusionType,18183.0
java.awt.Dialog.ModalityType,19611.0
java.awt.Dimension,29086.0
java.awt.DisplayMode,26132.0
java.awt.dnd,
java.awt.dnd.Autoscroll,11048.0
java.awt.dnd.DnDConstants,15387.0
java.awt.dnd.DragGestureEvent,34863.0
java.awt.dnd.DragGestureListener,11338.0
java.awt.dnd.DragGestureRecognizer,43080.0
java.awt.dnd.DragSource,69890.0
java.awt.dnd.DragSourceAdapter,23062.0
java.awt.dnd.DragSourceContext,48807.0
java.awt.dnd.DragSourceDragEvent,25472.0
java.awt.dnd.DragSourceDropEvent,21586.0
java.awt.dnd.DragSourceEvent,21221.0
java.awt.dnd.DragSourceListener,16216.0
java.awt.dnd.DragSourceMotionListener,11088.0
java.awt.dnd.DropTarget.DropTargetAutoScroller,15132.0
java.awt.dnd.DropTarget,54757.0
java.awt.dnd.DropTargetAdapter,20258.0
java.awt.dnd.DropTargetContext,28506.0
java.awt.dnd.DropTargetContext.TransferableProxy,19286.0
java.awt.dnd.DropTargetDragEvent,26856.0
java.awt.dnd.DropTargetDropEvent,31280.0
java.awt.dnd.DropTargetEvent,16301.0
java.awt.dnd.DropTargetListener,17900.0
java.awt.dnd.InvalidDnDOperationException,13463.0
java.awt.dnd.MouseDragGestureRecognizer,34396.0
java.awt.event,
java.awt.event.ActionEvent,34281.0
java.awt.event.ActionListener,19766.0
java.awt.event.AdjustmentEvent,34978.0
java.awt.event.AdjustmentListener,9702.0
java.awt.event.AWTEventListener,10872.0
java.awt.event.AWTEventListenerProxy,15594.0
java.awt.event.ComponentAdapter,18012.0
java.awt.event.ComponentEvent,26849.0
java.awt.event.ComponentListener,14455.0
java.awt.event.ContainerAdapter,15051.0
java.awt.event.ContainerEvent,26785.0
java.awt.event.ContainerListener,12639.0
java.awt.event.FocusAdapter,15041.0
java.awt.event.FocusEvent,32390.0
java.awt.event.FocusListener,13939.0
java.awt.event.HierarchyBoundsAdapter,15055.0
java.awt.event.HierarchyBoundsListener,11925.0
java.awt.event.HierarchyEvent,38847.0
java.awt.event.HierarchyListener,10797.0
java.awt.event.InputEvent,44957.0
java.awt.event.InputMethodEvent,41105.0
java.awt.event.InputMethodListener,11230.0
java.awt.event.InvocationEvent,43166.0
java.awt.event.ItemEvent,27259.0
java.awt.event.ItemListener,11474.0
java.awt.event.KeyAdapter,16204.0
java.awt.event.KeyEvent,191105.0
java.awt.event.KeyListener,13231.0
java.awt.event.MouseAdapter,26537.0
java.awt.event.MouseEvent,81822.0
java.awt.event.MouseListener,18957.0
java.awt.event.MouseMotionAdapter,15841.0
java.awt.event.MouseMotionListener,17279.0
java.awt.event.MouseWheelEvent,53175.0
java.awt.event.MouseWheelListener,13509.0
java.awt.event.PaintEvent,25712.0
java.awt.event.TextEvent,21435.0
java.awt.event.TextListener,10499.0
java.awt.event.WindowAdapter,26469.0
java.awt.event.WindowEvent,47859.0
java.awt.event.WindowFocusListener,12546.0
java.awt.event.WindowListener,17423.0
java.awt.event.WindowStateListener,10642.0
java.awt.Event,81237.0
java.awt.EventQueue,35045.0
java.awt.FileDialog,76248.0
java.awt.FlowLayout,40397.0
java.awt.FocusTraversalPolicy,26189.0
java.awt.font,
java.awt.font.FontRenderContext,32767.0
java.awt.font.GlyphJustificationInfo,23664.0
java.awt.font.GlyphMetrics,31616.0
java.awt.font.GlyphVector,68299.0
java.awt.font.GraphicAttribute,28242.0
java.awt.font.ImageGraphicAttribute,28067.0
java.awt.font.LayoutPath,15822.0
java.awt.font.LineBreakMeasurer,37186.0
java.awt.font.LineMetrics,21005.0
java.awt.font.MultipleMaster,15653.0
java.awt.font.NumericShaper,57149.0
java.awt.font.NumericShaper.Range,36802.0
java.awt.font.OpenType,54715.0
java.awt.font.ShapeGraphicAttribute,30852.0
java.awt.font.TextAttribute,100933.0
java.awt.font.TextHitInfo,27090.0
java.awt.font.TextLayout.CaretPolicy,14045.0
java.awt.font.TextLayout,104119.0
java.awt.font.TextMeasurer,28596.0
java.awt.font.TransformAttribute,20523.0
java.awt.Font,152919.0
java.awt.FontFormatException,12083.0
java.awt.FontMetrics,65792.0
java.awt.Frame.AccessibleAWTFrame,28312.0
java.awt.Frame,127853.0
java.awt.geom,
java.awt.geom.AffineTransform,148621.0
java.awt.geom.Arc2D.Double,43707.0
java.awt.geom.Arc2D.Float,43593.0
java.awt.geom.Arc2D,66716.0
java.awt.geom.Area,60451.0
java.awt.geom.CubicCurve2D.Double,44427.0
java.awt.geom.CubicCurve2D.Float,46700.0
java.awt.geom.CubicCurve2D,80185.0
java.awt.geom.Dimension2D,17759.0
java.awt.geom.Ellipse2D.Double,31861.0
java.awt.geom.Ellipse2D.Float,33258.0
java.awt.geom.Ellipse2D,29594.0
java.awt.geom.FlatteningPathIterator,25309.0
java.awt.geom.GeneralPath,21619.0
java.awt.geom.IllegalPathStateException,13512.0
java.awt.geom.Line2D.Double,33433.0
java.awt.geom.Line2D.Float,34641.0
java.awt.geom.Line2D,83579.0
java.awt.geom.NoninvertibleTransformException,12751.0
java.awt.geom.Path2D.Double,41642.0
java.awt.geom.Path2D.Float,49130.0
java.awt.geom.Path2D,82637.0
java.awt.geom.PathIterator,26032.0
java.awt.geom.Point2D.Double,21335.0
java.awt.geom.Point2D.Float,22332.0
java.awt.geom.Point2D,30495.0
java.awt.geom.QuadCurve2D.Double,37602.0
java.awt.geom.QuadCurve2D.Float,39119.0
java.awt.geom.QuadCurve2D,75242.0
java.awt.geom.Rectangle2D.Double,42378.0
java.awt.geom.Rectangle2D.Float,43715.0
java.awt.geom.Rectangle2D,64572.0
java.awt.geom.RectangularShape,53690.0
java.awt.geom.RoundRectangle2D.Double,38509.0
java.awt.geom.RoundRectangle2D.Float,40127.0
java.awt.geom.RoundRectangle2D,37281.0
java.awt.GradientPaint,33142.0
java.awt.Graphics,118586.0
java.awt.Graphics2D,117714.0
java.awt.GraphicsConfigTemplate,19487.0
java.awt.GraphicsConfiguration,44853.0
java.awt.GraphicsDevice,44507.0
java.awt.GraphicsDevice.WindowTranslucency,18178.0
java.awt.GraphicsEnvironment,38072.0
java.awt.GridBagConstraints,63382.0
java.awt.GridBagLayout,81065.0
java.awt.GridBagLayoutInfo,8967.0
java.awt.GridLayout,34859.0
java.awt.HeadlessException,14846.0
java.awt.IllegalComponentStateException,13284.0
java.awt.im,
java.awt.im.InputContext,32794.0
java.awt.im.InputMethodHighlight,27228.0
java.awt.im.InputMethodRequests,23531.0
java.awt.im.InputSubset,18747.0
java.awt.im.spi,
java.awt.im.spi.InputMethod,35830.0
java.awt.im.spi.InputMethodContext,20724.0
java.awt.im.spi.InputMethodDescriptor,17192.0
java.awt.image,
java.awt.image.AffineTransformOp,41512.0
java.awt.image.AreaAveragingScaleFilter,27082.0
java.awt.image.BandCombineOp,24474.0
java.awt.image.BandedSampleModel,67287.0
java.awt.image.BufferedImage,117529.0
java.awt.image.BufferedImageFilter,32578.0
java.awt.image.BufferedImageOp,19623.0
java.awt.image.BufferStrategy,22211.0
